Cancer,NewGenes,R2_baseline,R2_with_new,Delta
Colorectal,AREG/EREG,0.7562152916753774,0.7495903610355575,-0.006624930639819837
Melanoma,MITF/SOX10,0.7408719768895404,0.7401728900323701,-0.0006990868571703501
