Cancer,CellLines,Rows,Drugs,R2,RMSE,MAE
Breast,46,11826,286,0.7569902826502115,1.3243645244772824,1.024788935402141
Lung/NSCLC,66,17087,286,0.7842578911243971,1.2800238745765107,0.9899897523448924
Colorectal,40,10854,286,0.7562152916753774,1.3174011965157624,1.0225904773665717
Melanoma,36,8636,286,0.7408719768895404,1.3520779421874982,1.0319590926885835
Ovarian,27,6444,286,0.7613388350850938,1.3604245910526223,1.05256213415905
