Cancer,Stage,NumGenes,CellLines,Rows,R2,RMSE,MAE
Breast,D: All 40 + missing (additive),45,46,11826,0.7606814191508231,1.3142679829737045,1.0166616584837678
Lung/NSCLC,D: All 40 + missing (additive),42,66,17087,0.7836152578181541,1.2819288673665352,0.9941442531278726
Colorectal,D: All 40 + missing (additive),41,40,10854,0.7511994343971229,1.330884922336711,1.030103979526062
Melanoma,D: All 40 + missing (additive),41,36,8636,0.7390048576095398,1.356940325627001,1.0360751477569234
Ovarian,D: All 40 + missing (additive),45,27,6444,0.7580511011671673,1.3697629673466876,1.0575748730137602
