depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,BRCA1,ROS1,RAD51,MLH1,KEAP1,PGR,PALB2,ABCB1,ESR1,MSH2,SOX10,CCNE1,CDK6,MET,GATA3,RAD51C,AREG,CCND1,VEGFA,STK11,PIK3CA,EREG,FOXA1,TOP2A,KRAS,APC,CDK4,MDM2,MYC,BRCA2,RB1,TP53,SMAD4,ERBB2,AKT1,EGFR,CDKN2A,MKI67,ATM,KIT,BRAF,RET,CTNNB1,ALK,PTEN,HRAS,CHEK2,RAD51D,MITF,NF1,MTOR,TOP1,NRAS
ACH-000185,HS737T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,2.0313174725,0.3163508475,2.311311245,4.9583506584,5.5119423866,0.0517521314,2.7153773308,0.2151393145,0.5320037007,3.5862483978,0.0685291141,2.7357690334,4.7716741562,5.5325102806,0.1471464634,4.4155693054,0.4470840096,9.5026464462,7.5486755371,4.4773731232,3.8511092663,3.6721310616,0.1076610908,4.1770806313,4.447988987,3.9568371773,7.4021167755,4.8371157646,4.0220746994,1.4419879913,4.3581428528,4.97534132,5.4939546585,5.3379678726,6.7035021782,4.3609261513,5.7095828056,2.6301236153,4.5726594925,2.5654559135,2.980789423,0.1132444143,7.7199568748,0.0413621515,5.1673460007,5.4834127426,2.6580972672,3.3072712421,1.1292170286,4.5125050545,3.9927866459,4.6444621086,5.1692996025
ACH-000230,HS742T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,,1.2711507082,0.0460411757,2.0203635693,4.0206356049,4.4622616768,0.0067044711,1.3914268017,2.0391068459,0.1819815785,2.0562713146,0.0788215771,2.0773353577,4.0243906975,4.535492897,0.1003708467,3.3946979046,0.8709083796,9.2603530884,8.0307779312,3.6635951996,3.0974726677,0.9105131626,0.3352511227,2.9989807606,3.67887187,2.5735344887,5.7493786812,4.8916668892,4.4614958763,0.4917227924,3.8206384182,3.7233946323,4.277449131,4.2993693352,6.08979702,4.2410392761,4.7595338821,1.2741125822,3.8959326744,0.1824329644,2.6621258259,0.0116044087,7.0699276924,0.0391440094,4.7140808105,4.9166054726,3.2416861057,2.0039188862,1.0912462473,4.0233530998,3.3646943569,3.8465635777,3.9431054592
ACH-000526,HS821T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,3.5581450462,0.1181656718,3.5248661041,5.2744107246,5.8626747131,0.0057520848,2.5813367367,0.489362061,0.5856836438,3.4180860519,0.1400522143,2.7889738083,4.2696990967,5.8597359657,0.0353268944,4.8647408485,1.7712305784,7.6181211472,7.2843289375,4.7149653435,3.8283166885,3.3134505749,0.0475998074,6.7093043327,4.6026349068,3.6725838184,7.1576905251,6.2793803215,4.4676251411,2.083281517,4.7474517822,5.4476881027,5.7676095963,4.7714734077,6.8931436539,4.0498051643,4.0984363556,4.2488384247,4.517036438,3.2609846592,3.2363302708,0.0528262444,7.5884299278,0.0981513709,5.3977003098,6.1641569138,3.102209568,3.3735077381,2.3168234825,4.7846035957,3.7124416828,4.7970495224,5.0122647285
ACH-000180,HS839T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,,4.1740789413,0.1694709659,4.3484945297,5.4240956306,5.8349237442,0.2851867676,2.980266571,0.1172388941,0.837952137,4.5717616081,0.1270851493,2.7279901505,3.7244865894,6.3861298561,0.1666755974,4.6003351212,0.744343698,9.1149053574,5.5252733231,4.8830537796,3.7630078793,2.9380862713,0.1017347798,6.9407658577,4.5619983673,4.0092935562,7.2682099342,4.7939634323,4.2914710045,2.5241212845,4.4831190109,4.6512527466,5.8792252541,5.2145094872,7.080892086,4.9843158722,4.5917692184,5.4301080704,4.4857230186,2.3017017841,3.0701403618,0.0678617135,7.6743192673,0.0744177476,5.23396492,5.8829803467,3.4923274517,3.8521187305,1.326100111,4.781170845,4.1608395576,4.7678875923,5.4553141594
ACH-000274,HS852T,Skin,Melanoma,Melanoma,,,4.0513548851,0.0127574448,4.116631031,5.2191491127,6.4174661636,0.00299481,3.7323126793,1.1152464151,0.6548928618,4.4367146492,8.178894043,4.7009444237,2.6963922977,1.6818630695,0.4376549423,5.8632473946,1.0346031189,10.6779575348,6.1560344696,5.2225766182,2.9064462185,0.0740285665,1.4963037968,7.0374922752,4.1183099747,3.3332834244,8.6882324219,6.9589238167,3.8701574802,2.6489439011,3.6043441296,4.5939693451,5.7675251961,4.4850273132,7.0788445473,3.9979789257,5.5172128677,5.3250732422,4.540956974,0.2692737877,3.1739060879,0.1077561527,8.6713495255,1.1357383728,6.560312748,6.4487142563,4.1608877182,4.0261096954,3.7389731407,3.7528984547,4.9083471298,5.4954328537,5.0168128014
ACH-003111,HS856T,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,,,1.4894350767,0.0049198479,1.7406988144,4.5386748314,5.2888569832,0.4611544907,2.1053595543,0.0226533059,1.0358701944,2.5583019257,0.0,2.3297436237,2.8126831055,2.4618086815,0.0,3.8012311459,0.0,5.692700386,2.404061079,4.0430908203,3.9306333065,0.1681696177,0.043415904,2.305273056,4.4869203568,2.7941412926,7.891723156,5.964343071,3.0976023674,0.7170646191,4.3283195496,5.2793822289,5.4192862511,4.5201206207,6.1320586205,4.7956838608,3.3835439682,0.9026879668,4.4289331436,4.9460568428,2.6062526703,0.1952530891,6.9575662613,0.0,5.3130970001,4.3383817673,2.7600293159,3.2041721344,4.551460743,3.6329312325,3.3468122482,4.5624256134,5.5917992592
ACH-000119,HS863T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,3.9452705383,0.0862090215,4.4448394775,5.3942704201,5.7320084572,0.2134878933,2.7786333561,0.6516106129,0.5509134531,4.3927569389,0.0822911114,3.0501952171,4.3466734886,3.4634394646,0.1038239077,4.9993462563,2.0632405281,9.4139785767,6.3216123581,4.4985570908,4.0114331245,5.2645778656,0.1371113211,5.3117499352,4.8166866302,3.6658360958,7.1695642471,4.8532519341,3.8329305649,2.6288201809,4.6744379997,4.5380849838,5.7046480179,4.7281928062,7.1403799057,3.6537823677,4.0863423347,3.6915564537,4.7898283005,3.3618400097,3.3182458878,0.0289693736,7.5666174889,0.0382661968,5.2963252068,6.0636129379,3.2386293411,3.7775354385,1.5096958876,4.4583034515,3.6292982101,4.5407958031,5.6202020645
ACH-000340,HS870T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,4.3101944923,0.1056740582,4.3252425194,5.2877717018,5.7717218399,0.02252548,2.9244608879,0.1155673265,0.643876493,4.4253787994,0.1572701186,2.9826340675,4.0136232376,4.8186459541,0.0696169361,5.6937184334,1.1603070498,8.7114810944,7.2439641953,4.9169492722,4.0934505463,3.1356317997,0.0547776446,7.3181991577,4.8905925751,3.7598907948,7.6601099968,4.4408392906,4.537563324,3.1216619015,4.5954442024,4.4041471481,5.5879411697,4.153845787,7.2207846642,4.1782765388,4.8634476662,5.0332865715,4.6065311432,2.192494154,3.0818169117,0.1180912331,7.8368458748,0.0122683039,5.447063446,6.0353074074,3.7879860401,3.8070664406,1.1473587751,4.2821726799,3.9151670933,5.1270308495,5.9050908089
ACH-000154,HS888T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,,3.9942176342,0.0094274394,3.491724968,5.6448917389,6.030632019,0.3336962163,2.8519608974,1.0194101334,0.3129822612,4.2560067177,0.0172591843,2.7301855087,3.6593081951,5.6601214409,0.0939738601,4.738389492,3.6968283653,9.3105716705,6.4932456017,4.9243326187,4.0319242477,4.5658712387,0.1126507595,6.4870829582,4.4149947166,4.1442666054,7.9946532249,5.2607746124,5.1357851028,2.1303806305,4.7829065323,5.0827960968,5.5077219009,4.9258379936,6.9767417908,5.3203978539,5.6633162498,5.1446094513,4.965775013,1.1458404064,3.3713889122,0.3741725683,7.7061781883,0.0171280298,5.4014530182,5.3056278229,3.7803730965,3.7485792637,3.0107958317,5.0204267502,4.6291875839,6.2295150757,5.5024323463
ACH-000043,HS895T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,,2.9355256557,0.0164991729,3.1723451614,4.8746938705,5.1479091644,0.0370827578,2.4735894203,0.8284415007,0.2213005126,3.9438369274,0.1574900299,2.5168447495,4.6508564949,5.0443458557,0.0420923643,5.2354626656,1.023794651,9.8951997757,6.1372413635,4.4270763397,4.0809645653,0.3964697123,0.1717999279,5.4338507652,4.5880131721,4.1186585426,7.3203763962,4.9092884064,4.3198204041,1.9504833221,4.2625684738,3.4915709496,5.1923360825,3.9582209587,7.1032457352,3.8107516766,6.0784668922,3.2635333538,4.5627799034,3.0234222412,2.8618659973,0.1285072118,7.4544472694,0.0156217366,5.5012989044,5.926255703,3.2718575001,3.2658748627,3.5585737228,4.0731945038,3.4531238079,4.7999267578,5.6387224197
